airport,airport_name,city,state,lat,long,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,780,85,24.73,5.38,22.25,0,32.64,73,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2185,478,127.44,8.96,212.82,0.64,128.14,135,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,119,14,3.45,0,5.56,0,4.99,3,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4200,1030,275.01,9.04,299.44,0,446.51,167,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1462,268,69.07,7.41,99.62,0,91.9,39,5
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,179,34,11.13,0,14.61,0,8.26,8,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,372,88,19.13,0.93,41.93,0.61,25.4,14,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4,0,0,0,0,0,0,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,969,183,59.11,1.43,68.5,0,53.96,36,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,139,35,12.03,4.56,8.78,0,9.63,5,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,959,211,49.74,13.84,67.83,0.6,78.99,61,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2165,437,102.1,11.26,175.52,0.39,147.73,33,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,141,18,3.72,0.59,10.36,0,3.33,1,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4156,1041,233.62,9.12,367.79,3.31,427.16,46,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1437,346,97.01,27.17,114.1,0.43,107.29,50,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,181,41,12.99,0,18.21,0,9.8,7,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,367,88,18.15,1.98,48.19,0,19.68,10,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1,0,0,0,0,0,0,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,981,228,51.68,2.12,86.03,0,88.18,1,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,136,36,11.92,4.41,9.06,0,10.61,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,976,242,55.6,21.87,69.85,0,94.67,5,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2280,600,98.9,15.4,327.12,0,158.58,40,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,155,34,4.92,1,21.61,0,6.47,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4209,1383,247.18,16,574.11,1.05,544.66,97,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1470,475,73.14,5.62,301.73,0,94.51,1,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,180,64,20.47,0,31.84,0,11.69,6,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,434,116,14.67,4.92,80.8,0,15.61,23,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1065,316,44.33,4.15,192.24,0,75.28,5,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,166,70,17.9,1.45,30.54,0.18,19.93,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1094,356,76.61,35.58,141.66,0,102.14,8,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2299,734,123.29,25.47,395.95,0.86,188.42,68,3
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,150,47,7.2,0,37.58,0,2.22,3,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4144,1758,287.04,27.75,751.88,0.92,690.4,113,3
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1386,460,69.77,10.59,306.2,1,72.44,14,7
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,123,36,4.46,0,26.62,0,4.92,7,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,420,150,22.44,8.24,88.33,0,30.98,30,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1124,427,59.92,6.99,278.14,0,81.95,14,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,191,66,9.41,0.49,44.18,0,11.91,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1168,438,99.67,30.87,180.31,0,127.15,29,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,115,30,8.29,0,13.73,0,7.97,6,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,434,115,7.09,3.29,83.32,0,21.29,12,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2300,627,158.61,42.99,228.86,0,196.55,68,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,155,24,4.15,0.34,16.85,0,2.65,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4277,1355,301.43,40.71,416.17,0.83,595.85,85,5
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1315,307,74.87,13.89,155.81,0,62.43,0,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1142,336,62.62,12.82,154.52,0,106.04,8,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,201,41,11.9,0.29,22.97,0,5.84,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1191,381,91.57,39.62,111.62,0,138.2,7,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,2378,464,142.49,18.81,139,1,162.7,46,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,161,30,5.54,0,19.61,0.65,4.21,0,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,4299,1049,277.28,14.69,239.85,4.21,512.96,71,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1384,200,46.84,4.59,96.67,0,51.9,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,114,13,5.3,0,3.28,0,4.42,2,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,434,81,9.54,7.56,42.47,0,21.42,6,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1186,283,66.81,10.07,120,0,86.12,42,1
